primary_name,ra,dec,vmag
133161,15.04255,16.05475,7.01
133233,15.05568,4.8341328,7.64
133295,15.075856,-28.300174,7.18
133351,15.059694,15.421667,8.09
13345,2.1756661,6.098825,7.449
133460,15.063692,26.038806,7.29
13357,2.181133,13.683276,7.65
13361,2.1584003,-41.387286,8.23
13382,2.1897634,21.377346,7.22
133P-ELST,22.522444,-9.6916667,nan
134044,15.109775,36.455972,6.35
135143,15.141725,72.369361,7.84
135148,15.221519,12.457083,9.49
1352-01149-1,6.9343486,20.084221,9.64
13531,2.220371,40.507588,7.35
135446,15.267588,-30.730415,8.18
13555,2.2133278,21.210972,5.23
135599,15.266435,0.7963625,7.0
135724,15.268994,15.5415,8.27
13579,2.2618198,67.672283,7.18
13584,2.2140222,11.857389,8.36
135872,15.294794,-5.2023889,7.28
136028,15.307258,-0.46125,5.88
136118,15.315428,-1.5924444,6.93
13612B,2.212955,-2.3963614,7.74
136159,15.299908,30.833111,6.86
136202,15.321828,1.7666667,5.04
136274,15.316405,25.691708,7.99
136352,15.363375,-48.317628,5.65
136418,15.318389,41.733639,7.88
136442,15.346394,-2.4133306,6.35
136512,15.335733,29.616306,5.51
136513,15.347772,7.68275,8.23
136544,15.359122,-6.8265278,7.45
136580,15.333983,40.983722,6.9
136618,15.355478,13.516944,7.99
136654,15.347278,31.479778,6.9
136713,15.37686,-10.661123,7.99
136726,15.284967,71.823889,5.02
136834,15.378485,1.4186267,8.3
136923,15.379676,18.918957,7.123
136925,15.38113,13.366429,8.0
137303,15.433067,-26.70575,8.82
137368,15.405167,38.187944,7.57
13747,2.2438556,28.691417,6.35
137510,15.431472,19.480722,6.26
137631,15.458419,-10.962444,7.8
137664,15.424844,45.947698,7.27
13773,2.245995,22.60005,8.697
137763,15.469325,-9.3471944,6.89
137778,15.470058,-9.35786,7.62
137812,15.477331,-15.700722,6.79
137985,15.479686,15.885747,8.59
138004,15.461204,42.881377,7.47
13825,2.2567,24.271778,6.8
138278,15.499342,32.618762,8.36
13836,2.2575938,27.357261,8.12
1384,0.303375,52.412694,8.1
138549,15.564877,-31.019049,7.96
138600,15.565228,-25.110472,7.62
13871,2.2627499,25.783054,5.9
138776,15.571367,-2.7240686,8.72
1388,0.29968636,-13.45564,6.5
139059,15.603575,-6.3880278,7.91
13908,2.3040361,65.594444,7.52
139477,15.588901,60.086992,8.39
13974,2.2840056,34.224833,4.84
139813,15.489887,80.450267,7.31
139879,15.682044,-8.9985644,7.96
