,primary_name,other_name,ra,dec,vmag
0,HAT-P-14,TYC 3086-152-1|GSC 03086-00152|HAT-P-14|2MASS J17202788+3814317|WASP-27|Gaia DR1 1340497604189897216|Gaia DR2 1340497608486742400,17.341078,38.242164,11.571
1,HAT-P-18,GSC 02594-00646|HAT-P-18|2MASS J17052315+3300450|UCAC2  43456357|UCAC3 247-120011|Gaia DR2 1334573817793362560,17.089778,33.0125,
2,HAT-P-21,TYC 3013-1229-1|GSC 03013-01229|HAT-P-21|2MASS J11250598+4101406|UCAC2  46144439|UCAC3 263-118118|Gaia DR1 770622651659107712|Gaia DR2 770622651659107712,11.418330000000001,41.02802,11.558
3,HAT-P-23,TYC 1632-1396-1|GSC 01632-01396|HAT-P-23|2MASS J20242972+1645437|UCAC2  37798809|UCAC3 214-278000|Gaia DR1 1808938623332422656|Gaia DR2 1808938730710633984,20.40825,16.762222,
4,HAT-P-27,GSC 00333-00351|GSC2 N1310023215|HAT-P-27|2MASS J14510418+0556505|SDSS J145104.18+055650.4|UCAC2  33763793|UCAC3 192-122169|WASP-40|Gaia DR2 1159336403336463872,14.851167000000002,5.9475,
5,HAT-P-31,TYC 2099-908-1|GSC 02099-00908|HAT-P-31|2MASS J18060904+2625359|UCAC2  41046057|UCAC3 233-135590|Gaia DR1 4583004810941085312|Gaia DR2 4583004815239650176,18.1025,26.426667,
6,HAT-P-36,TYC 3020-2221-1|CMC14 J123303.9+445455|GSC2.3 N5JE000007|GSC2 N13000227|GSC 03020-02221|HAT-P-36|2MASS J12330390+4454552|PPMX J123303.9+445455|SDSS J123303.90+445455.1|UCAC2  47076348|UCAC3 270-126195|USNO-B1.0 1349-00234112|Gaia DR1 1541532207133249920|Gaia DR2 1541532207133249920,12.55108,44.91537,12.093
7,HAT-P-40,TYC 3607-1028-1|GSC 03607-01028|HAT-P-40|2MASS J22220308+4527265|Gaia DR1 1962153850672783872|Gaia DR2 1962153854973972096,22.367528,45.4575,
8,HAT-P-41,TYC  488-2442-1|GSC 00488-02442|HAT-P-41|2MASS J19491743+0440207|Gaia DR1 4290415077347790208|Gaia DR2 4290415081653653632,19.8215,4.6725,
9,HAT-P-44,GSC 03465-00123|HAT-P-44|2MASS J14123457+4700528|SDSS J141234.55+470053.0|UCAC2  47643180|UCAC3 275-123067|UCAC4 686-055435|USNO-B1.0 1370-00283111|Gaia DR2 1506159170017461888,14.209610999999999,47.014722,
10,HAT-P-55,GSC 02080-00517|HAT-P-55|2MASS J17370562+2543522|Gaia DR2 4593808272896243328,17.618222,25.731111,
11,HAT-P-66,GSC 03814-00307|HAT-P-66|2MASS J10021743+5357031|UCAC4 720-050303|Gaia DR2 852608874351434752,10.03818,53.95081999999999,12.892000000000001
12,HAT-P-9,TYC 2463-281-1|GSC 02463-00281|HAT-P-9|2MASS J07204044+3708263|SDSS J072040.44+370826.3|SPOCS 2692|UCAC2  44825174|Gaia DR2 898130030131443584,7.34457,37.14059,12.154000000000002
13,K2-161,DENIS J121510.5-032943|EPIC 201231064|K2-161|2MASS J12151051-0329442|RAVE J121510.5-032944|USNO-B1.0 0865-00241892|Gaia DR2 3598019894861833856|DENIS J121510.5-032943|EPIC 201231064|K2-161|2MASS J12151051-0329442|RAVE J121510.5-032944|USNO-B1.0 0865-00241892|Gaia DR2 3598019894861833856,12.252917,-3.4955556000000003,
14,K2-19,UCAC4 454-050261|EPIC 201505350|K2-19|2MASS J11395048+0036129|SPOCS 2797|Gaia DR2 3798833775141351552,11.664028,0.60333333,
15,K2-27,UCAC4 457-048908|EPIC 201546283|K2-27|2MASS J11260363+0113505|SPOCS 2789|Gaia DR2 3798552815560689792,11.434333,1.2305556,
16,K2-58,EPIC 206026904|K2-58|2MASS J22151722-1402593|SPOCS 2485|Gaia DR2 2599975224481836672|EPIC 206026904|K2-58|2MASS J22151722-1402593|SPOCS 2485|Gaia DR2 2599975224481836672,22.254789000000002,-14.049806,
17,KELT-12,TYC 2619-1057-1|GSC 02619-01057|KELT-12|2MASS J17503372+3634128|NOMAD1 1265-0275194|USNO-B1.0 1265-00270817|WASP-86|Gaia DR1 4608935246494331392|Gaia DR2 4608935250790855296|TYC 2619-1057-1|GSC 02619-01057|KELT-12|2MASS J17503372+3634128|NOMAD1 1265-0275194|USNO-B1.0 1265-00270817|WASP-86|Gaia DR1 4608935246494331392|Gaia DR2 4608935250790855296,17.842694,36.570278,
18,KELT-16,TYC 2688-1839-1|KELT-16|2MASS J20570443+3139397|Gaia DR2 1864885215233116032|Gaia DR1 1864885210926014080,20.951222,31.661111,
19,WASP-1,TYC 2265-107-1|** CCA    1A|GSC 02265-00107|2MASS J00204007+3159239|SPOCS 2043|1SWASP J002040.07+315923.7|USNO-B1.0 1219-00005465|WASP-1|WDS J00207+3159A|Gaia DR2 2862548428079638912,0.34446388,31.989918,11.8
20,WASP-10,GSC 02752-00114|GSC2 N0013312406|2MASS J23155829+3127462|1SWASP J231558.30+312746.4|UCAC2  42862442|USNO-B1.0 1214-00586164|WASP-10|Gaia DR2 1909762228985058944,23.266194,31.462778000000004,
21,WASP-103,2MASS J16371556+0711000|1SWASP J163715.59+071100.0|WASP-103|Gaia DR2 4439085988769170432,16.621,7.1833333,
22,WASP-113,WASP-113|Gaia DR2 1587399232335653760,14.991528,46.96,
23,WASP-114,WASP-114|Gaia DR2 2726339892542980864,21.844306,10.463611,
24,WASP-13,TYC 2496-1114-1|GPM 140.102992+33.882691|2MASS J09202471+3352567|SPOCS 2735|1SWASP J092024.70+335256.6|USNO-B1.0 1238-00183620|WASP-13|Gaia DR1 702295460055896064|Gaia DR2 702295464353437952|TYC 2496-1114-1|GPM 140.102992+33.882691|2MASS J09202471+3352567|SPOCS 2735|1SWASP J092024.70+335256.6|USNO-B1.0 1238-00183620|WASP-13|Gaia DR1 702295460055896064|Gaia DR2 702295464353437952,9.3402,33.882329999999996,10.38
25,WASP-153,2MASS J18370297+4001073|1SWASP J183702.97+400107.4|WASP-153|Gaia DR2 2110106372987465216,18.6175,40.01869,12.497
26,WASP-2,GSC 00522-01199|2MASS J20305413+0625463|SPOCS 3147|1SWASP J203054.12+062546.4|UCAC2  34018636|USNO-B1.0 0964-00543604|WASP-2|Gaia DR2 1748596020745038208,20.515036,6.4295468,11.98
27,WASP-3,TYC 2636-195-1|** WSP    3|GSC 02636-00195|2MASS J18343163+3539415|SPOCS 2977|1SWASP J183431.62+353941.4|UCAC3 252-133187|USNO-B1.0 1256-00285133|WASP-3|WDS J18345+3540AB|Gaia DR1 2095108308532352256|Gaia DR2 2095108312831835648,18.575445000000002,35.661667,10.6
28,WASP-37,GSC 00326-00658|DENIS J144746.5+010354|2MASS J14474655+0103538|SDSS J144746.55+010353.8|UCAC2  32211845|UCAC3 183-121327|WASP-37|Gaia DR2 3652176997218325888,14.796278,1.065,
29,WASP-48,TYC 3925-739-1|GSC 03925-00739|2MASS J19243895+5528233|SPOCS 3062|UCAC3 291-131713|WASP-48|Gaia DR1 2141754573944019328|Gaia DR2 2141754578242371584|TYC 3925-739-1|GSC 03925-00739|2MASS J19243895+5528233|SPOCS 3062|UCAC3 291-131713|WASP-48|Gaia DR1 2141754573944019328|Gaia DR2 2141754578242371584,19.410829999999997,55.47303,11.523
30,WASP-52,UCAC2  34947834|2MASS J23135873+0845405|UCAC4 494-144379|WASP-52|Gaia DR2 2666015878575546496,23.232972,8.761388900000002,
31,WASP-56,Cl* Melotte  111     AV     561|2MASS J12132790+2303205|1SWASP J121327.90+230320.2|TYC 1986-1561-1|WASP-56|Gaia DR1 4001613814138156416|Gaia DR2 4001613814138156416,12.2244,23.05569,12.003
